"filename", "language", "XML", "PlantUML", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\SplashActivity.puml", "PlantUML", 0, 8, 0, 0, 0, 0, 8
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\UIHelper.puml", "PlantUML", 0, 5, 0, 0, 0, 0, 5
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\User.puml", "PlantUML", 0, 27, 0, 0, 0, 0, 27
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\UserManager.puml", "PlantUML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\Waypoint.puml", "PlantUML", 0, 16, 0, 0, 0, 0, 16
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\concise\ConciseProjUML_1.puml", "PlantUML", 0, 34, 0, 0, 0, 2, 36
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\concise\ConciseProjUML_2.puml", "PlantUML", 0, 21, 0, 0, 0, 2, 23
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\concise\ConciseProjUML_3.puml", "PlantUML", 0, 44, 0, 0, 0, 2, 46
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\concise\ConciseProjUML_4.puml", "PlantUML", 0, 17, 0, 0, 0, 2, 19
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\Candidate.puml", "PlantUML", 0, 17, 0, 0, 4, 4, 25
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\DPSOAlgorithmService.puml", "PlantUML", 0, 36, 0, 0, 4, 5, 45
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\DirectionsResponse.puml", "PlantUML", 0, 48, 0, 0, 4, 7, 59
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\DistanceMatrixResponse.puml", "PlantUML", 0, 35, 0, 0, 4, 6, 45
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\GoogleDirectionsClient.puml", "PlantUML", 0, 5, 0, 0, 4, 3, 12
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\GoogleDistanceMatrixClient.puml", "PlantUML", 0, 5, 0, 0, 4, 3, 12
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\GooglePlacesClient.puml", "PlantUML", 0, 5, 0, 0, 4, 3, 12
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\GoogleRoadsClient.puml", "PlantUML", 0, 5, 0, 0, 4, 3, 12
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\LocationCategory.puml", "PlantUML", 0, 20, 0, 0, 4, 3, 27
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\LoginAndSignupController.puml", "PlantUML", 0, 10, 0, 0, 4, 3, 17
